identifier,measure,subject,period.start,period.end,measureScore.rate,measureScore.denominator,measureScore.range
7668fe9c-9aa7-4065-bdbe-95425f6200e9,Transfer-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-02-01,2024-02-29,0.53,211,0
16b4eaf4-85e7-440a-a1c6-a5d3604666c6,Transfer-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-03-01,2024-03-31,0.62,166,0
ba13c83b-112a-49b7-a0dc-e3b46cd88175,Transfer-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-04-01,2024-04-30,0.46,1211,0
5561818e-a2ff-4446-96e0-24bbea66b1dc,Transfer-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-05-01,2024-05-31,0.53,4317,0
320346e8-74a4-4f4b-987f-f4facc5dd10a,Transfer-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-06-01,2024-06-30,0.49,4472,0
c404c7fd-f2a1-4592-9791-089a11d16c66,Transfer-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-07-01,2024-07-31,0.55,4423,0
1d3cf18f-a7ff-47a6-9d42-087e67132020,Transfer-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-08-01,2024-08-31,0.58,4441,0
f8767372-a3d6-4517-927e-79fa693a50c8,Transfer-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-09-01,2024-09-30,0.6,1202,0
33d961ae-58ba-4f3d-842b-974d9cdb5790,Transfer-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-10-01,2024-10-31,0.58,1473,0
d3292fff-f818-42c5-81d6-e25c936087e5,Transfer-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-11-01,2024-11-30,0.63,2797,0
8347a747-2350-47e8-9779-04b7fde81c21,Transfer-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-12-01,2024-12-31,0.56,3473,0
22618a62-68a9-4b90-a742-d98e4b96659d,Transfer-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2025-01-01,2025-01-31,0.58,3225,0
e0244d2c-eb6d-4438-9263-c335ec8c171f,Hand-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-02-01,2024-02-29,1.0,2320,0
11d1cc12-058b-4381-bbab-2ce5cad8fc1c,Hand-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-03-01,2024-03-31,0.75,3746,0
1a1cf96f-868b-435f-abb9-97710c4ceb45,Hand-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-04-01,2024-04-30,0.94,3837,0
2b0196fa-2413-4456-b469-91d469823371,Hand-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-05-01,2024-05-31,1.0,1655,0
71b97b23-cf1d-4bfb-8ac5-e0530ee431d5,Hand-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-06-01,2024-06-30,0.91,896,0
783c683b-e782-43c8-afdf-88085834e733,Hand-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-07-01,2024-07-31,1.0,577,0
586f3215-70b5-4169-ae62-df14c51352d8,Hand-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-08-01,2024-08-31,1.0,188,0
2313b015-8f56-408f-b32d-e91067eceee7,Hand-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-09-01,2024-09-30,1.0,2320,0
