PractitionerRole.identifier,PractitionerRole.practitioner,PractitionerRole.organization,PractitionerRole.code
bd7f7252-5561-4210-845d-9be78f3e40cc,,hospital 1, 
89a059e6-694a-4e45-ad36-bbb22d9ec54b,,hospital 2, 
bd5d95b8-d13b-4e97-ae74-8139d6bcf114,,hospital 3, 
3349c662-cdab-49d5-892d-9a038fcbb547,,hospital 4, 
d1aad2f6-2fa0-48f7-9690-77c675705be5,,hospital 5, 
52e46856-9a80-41cf-a74d-8cddd753ec56,,hospital 6, 
ee412668-6e8e-47d1-baad-ab220ca7b84b,,hospital 7, 
6271dde4-f6d5-4250-803a-5e259927c8f4,,hospital 8, 
114d8cc1-be40-407d-a285-773c69a93559,,hospital 9, 
2944bb30-231e-4fa5-8e0f-a58ac9616dc1,,hospital 10, 
a1c8ae48-40fc-4bbd-b03a-0f7db78413ec,,hospital 11, 
4c64d0d5-5488-4011-bc56-ade9c9f0c842,,hospital 12, 
19af1e04-164f-49f6-af8f-9d54434fdb7e,,hospital 13, 
5be5d2b7-cae5-432b-b9cc-1b75695bc14e,,hospital 14, 
62cfa69d-c48c-44a7-8d9a-9de32b98ebaf,,hospital 15, 
e623fb95-47e2-4872-827d-43a27c48373b,,hospital 16, 
01b3b57b-3ba3-4007-912f-be24ce25ebf6,,hospital 17, 
d221ec33-d4e5-4b21-9616-9b7cd864c882,,hospital 18, 
bb3bf879-4e60-4672-85fe-632bbddead6f,,hospital 19, 
818bd1e7-e65d-4f40-acd8-7dded4101b00,,hospital 20, 
f3bbd7c8-56d1-4b35-9f70-9376dec56c4e,,hospital 21, 
3ea3215b-2aaa-4296-be02-0d95b17d1331,,hospital 22, 
28e8721a-21b3-4b7c-8c82-3dc7be90c737,,hospital 23, 
209eff6c-c32b-43df-b071-db54426f06b2,,hospital 24, 
29e25d04-c740-4c8a-b875-b980ce47d399,,hospital 25, 
823cc5a0-6fc8-4deb-9a1e-073cdadf500e,,hospital 26, 
0e843f8a-58ef-49ca-b512-35ad8c723426,,hospital 27, 
36586133-f2e3-4a77-afbd-a4fc49932f5c,,hospital 28, 
6c3ac238-7fe9-4722-9b20-5872e15b6aa1,,hospital 29, 
527bad4c-4bbc-4a81-8d0e-2472f99317cd,,hospital 30, 
66f22e51-48de-444b-acf8-4f888720e1f3,,hospital 31, 
49b55bd6-8009-4eca-8fc6-b2b84ca2fc6d,,hospital 32, 
bf220158-822a-4b11-a04a-f7c6be2f3e59,,hospital 33, 
542317ef-7385-4ac5-9a08-69fc8b18bca7,,hospital 34, 
843b3f3c-c6f5-4e36-ae58-30e7097f7f17,,hospital 35, 
b2bb1348-c678-4fd0-a131-619c038d39ff,,hospital 36, 
717b8bbb-ad02-4648-bbfc-bd6ea4c75c34,,hospital 37, 
edd3b999-c547-4f42-ba73-5314b2d652e1,,hospital 38, 
6f7fe5d8-645f-42fa-be66-94959ecba572,,hospital 39, 
a1dd489a-50c0-4af9-807d-fad4afa62d4e,,hospital 40, 
ca483932-b5f4-4288-bf6e-70d090925e8f,,hospital 41, 
b7a4b6f8-21f0-42c2-9feb-b94cc7200c1d,,hospital 42, 
ccf40a9e-3c54-4369-b6fa-3885af25b820,,hospital 43, 
622cc0f3-dd65-4585-91cd-c4b674749906,,hospital 44, 
c10be96c-763b-4d3b-b158-e009b0f2b7d5,,hospital 45, 
c6c5c8e6-349f-42b0-a2d9-2d702893b5ba,,hospital 46, 
63be3427-b9c0-4106-8f26-98bfe15be172,,hospital 47, 
78f4e255-9323-4e97-8171-9196cd0a65bb,,hospital 48, 
41f7239b-6c12-4c2f-a1a5-4b16e5d13f36,,hospital 49, 
3f56f3c5-380e-4734-9eb1-36b12a11965e,,hospital 50, 
78319f20-1d18-4e9b-ac79-5040e339ffd4,,hospital 51, 
7d0c33cb-fe71-4ee3-816b-f742e4380223,,hospital 52, 
bad19d61-da31-49f8-9945-b0cdfa36fd6b,,hospital 53, 
45c515a7-3947-4321-bff5-938912c12871,,hospital 54, 
def0174f-640f-4da3-b4ac-e5c130312f8e,,hospital 55, 
5df3172e-6bff-42fb-998a-8e2abf49059b,,hospital 56, 
67912e1b-d1ae-4128-adcc-7857f50ab76d,,hospital 57, 
b40b236c-2f08-431c-b523-027595f88d89,,hospital 58, 
a795b904-bb72-4d49-a4d7-f1d6da1e93a4,,hospital 59, 
10bc62be-141c-4b0f-80a4-515fa9c5f24c,,hospital 60, 
2a4064fc-89b9-4985-939f-7e982ecacbf4,,hospital 61, 
7ad1a663-0e19-4857-84c8-6d37e64f0bb7,,hospital 62, 
dfd9d573-e04b-484c-a90d-586412737104,,hospital 63, 
e6f91335-98df-43d4-9aa4-3607242159b9,,hospital 64, 
8223b9c3-3311-4341-a84f-0d985e4c1de5,,hospital 65, 
